title,date,comment_count,content_size
Что нельзя делать казаху. О казахских приметах. Часть III,"18 декабря 2019, 15:51",15,11560
"Послу Франции подарили в Казахстане дорогие часы, но он не смог их принять","18 декабря 2019, 13:17",30,7021
Я хочу продать квартиру. Что нужно знать?,"17 декабря 2019, 19:40",34,5503
Должны ли казахи говорить на арабском,"13 декабря 2019, 11:38",78,7844
"Видеонаблюдение, безопасность и комфорт. Как живет самый умный город Казахстана - Smart Aqkol","13 декабря 2019, 10:07",8,7330
Как перестать быть охранником и начать петь. Русский парень исполняет казахские песни без акцента,"12 декабря 2019, 11:45",47,9026
'Лучше казните меня'. Последнее слово в суде вернувшихся из Сирии казахстанцев,"12 декабря 2019, 09:45",94,5760
"Не спи на закате, не свисти - в какие приметы верили казахи. Часть II","11 декабря 2019, 14:13",10,8458
Как электронный счет-фактура помогает бизнесу,"11 декабря 2019, 09:00",12,12825
"'Если начнем всех сажать, не с кем будет работать'. Почему так сложно победить коррупцию в Казахстане","10 декабря 2019, 19:06",131,8498
Чем занимается экс-глава Администрации Президента. Интервью с Асетом Исекешевым,"10 декабря 2019, 08:48",,12821
Как сохранить семью? Мы спросили у адвокатов по разводам,"09 декабря 2019, 08:11",31,9411
"Здесь люди молились. Павлодарская тюрьма, в которой больше нет заключенных","06 декабря 2019, 14:46",11,4739
"'А я пять месяцев, как аким'. Как Сагинтаев с населением встречался","06 декабря 2019, 11:00",12,4581
Хлопать дверьми - к нищете! В какие приметы верили казахи,"05 декабря 2019, 14:09",17,10198
Как неправильные телезамеры мешают развитию казахстанских СМИ,"05 декабря 2019, 10:51",27,5671
2050 год - без мяса? Сбудется ли мировой прогноз в Казахстане,"05 декабря 2019, 08:13",52,5638
"Им понадобится минута, чтобы попасть в вашу квартиру. Воры Нур-Султана","04 декабря 2019, 12:55",45,11048
"Он хотел в Сеул, а оказался в Лондоне. История нелегала, скучающего по Казахстану","04 декабря 2019, 08:22",23,10514
В чем суть нового иска Минюста по делу Стати,"03 декабря 2019, 18:39",4,4339
"Кто виноват в гибели мальчика из Нур-Султана, упавшего в открытый люк","29 ноября 2019, 15:26",50,12389
"Мы что, в Алеппо живем? Жители сонной деревни ищут встречи с Президентом","29 ноября 2019, 08:35",21,6476
Почему в Казахстане грязные туалеты?,"28 ноября 2019, 10:24",31,4949
Вся правда о 'Рамсторе',"27 ноября 2019, 17:00",7,2198
"Жизнь – бумеранг, или Как преодолеть мүшел жас","27 ноября 2019, 13:29",6,6196
Вместо гречки утиное филе с грушей. Кухня павлодарской тюрьмы превратилась в ресторан,"27 ноября 2019, 13:19",41,10623
"Он был бандитом и наркоманом. История россиянина, переехавшего в Алматы","26 ноября 2019, 16:47",33,8569
'Мне было стыдно' - об одном совещании с Назарбаевым,"26 ноября 2019, 11:55",18,4872
"5 'взрослых' спектаклей, на которые стоит сходить с подростком","25 ноября 2019, 12:10",1,4742
"Она пришла на каблуках, с прической и отказалась от своих детей. Шокирующие истории из Нур-Султана","22 ноября 2019, 16:03",38,7684
В школу в минус 30. Вы за отмену занятий?,"21 ноября 2019, 18:56",,2860
Правомерно ли изъятие земельного участка,"19 ноября 2019, 16:30",2,8766
'Вам нужно обратиться к психологу'. Заметки с выступления Лабковского в Алматы,"18 ноября 2019, 16:41",9,4997
"Как живет семья учительницы из Нур-Султана, которую поджег бывший муж","18 ноября 2019, 15:56",46,4782
Почему Стати судится с Казахстаном - часть 2. Облигации 'Тристана' и проект 'Зенит',"17 ноября 2019, 19:42",5,22109
Magnum объявил 'Год клиентомании',"15 ноября 2019, 13:00",16,6818
О нашем совковом способе решения всех проблем,"14 ноября 2019, 13:16",11,5607
Аким пообещал. Жизнь выпускницы детдома превратилась в ожидание,"12 ноября 2019, 18:09",59,9587
Почему казахи вечно опаздывают и никогда не дают прямого ответа на вопрос,"12 ноября 2019, 12:56",36,10745
'Я даю ребенку 58 тысяч тенге в месяц'. Как научить пользоваться деньгами? ,"12 ноября 2019, 08:20",41,15907
Почему Стати судится с Казахстаном,"11 ноября 2019, 13:43",13,13033
"'Искали то, чего нет в мире'. Вернувшихся из Сирии казахстанцев допросили в суде","11 ноября 2019, 08:33",95,5035
'А у нас 9-й этаж'. При землетрясении бежать или прятаться?,"08 ноября 2019, 08:24",19,5304
'Я употребляла 'соль'. В Нур-Султане приняли роды у наркозависимой девушки,"07 ноября 2019, 16:08",49,4742
'Соседи громко пьют чай'. О нашей привычке жаловаться,"07 ноября 2019, 10:39",27,4090
"Крути педали, пока плов не дали. Как девушка из Шымкента изменила свою жизнь","06 ноября 2019, 08:31",33,6744
Старые дома надежнее новых? Разрушаем 10 мифов о последствиях землетрясений в Алматы,"06 ноября 2019, 08:22",26,7122
"Путешествует босиком, живет на три доллара в день. Выходец из Казахстана побывал в 151 стране","05 ноября 2019, 13:05",31,8994
'Бизнес должен содержать себя сам'. Зампред EFC о введении платы за портал госзакупок,"04 ноября 2019, 15:00",10,8599
Злая это штука – зависть. Любой может подхватить,"04 ноября 2019, 13:59",,7014
"'Мой сын Бо, его настоящее имя - Болат'. Режиссер из США сняла фильм о казахстанском детдоме","01 ноября 2019, 08:35",11,8540
"Gucci, Dolce and Gabbana, Valentino. Talan Gallery открыл свои двери в Нур-Султане","31 октября 2019, 17:00",3,4197
"Зигфрид. Немец, который чтит свое шежире и говорит спасибо казахскому аулу","31 октября 2019, 13:50",47,8406
Перезапуск Pizza Hut: каким будет новый ресторан в Алматы,"30 октября 2019, 17:00",11,6214
"Пакеты, Темиртау и браконьеры. Первое интервью министра экологии","30 октября 2019, 10:28",24,17201
Будущее уже наступило. Что я думаю о книге Карима Масимова,"28 октября 2019, 15:03",2,2528
Сколько стоит прием у доктора Комаровского и как внуки 'убивают' бабушек,"28 октября 2019, 08:25",10,12656
Мухтар Ауэзов и экзистенциализм,"28 октября 2019, 08:05",2,7467
"Это как пит-стоп. Что происходит в Акорде, когда президенты удаляются на переговоры","25 октября 2019, 20:45",22,8203
​Со временем он становится 'хозяином' больницы - о плохих главврачах,"25 октября 2019, 15:24",8,4924
Какой город в Казахстане лидирует по количеству ДТП,"25 октября 2019, 08:32",34,647
Люди покидают Нур-Султан. Еще 55 человек собрали свои чемоданы,"24 октября 2019, 17:35",99,6891
Что хранили в своих делах казахстанские милиционеры 100 лет назад,"23 октября 2019, 14:05",4,3733
Как акиматы скрывают информацию о земельных участках и как ее получить,"23 октября 2019, 10:47",8,9828
Будто и не суд вовсе. Как выносят приговор преступникам в Швеции ,"23 октября 2019, 08:24",24,8851
Для катарского шейха он как сын. Невероятная история монгольского казаха,"22 октября 2019, 08:33",32,10427
Ицхак Адизес выступит с программой о менеджменте в Алматы,"21 октября 2019, 15:00",2,2200
Как Instagram привел казахстанца к работе с Disney и Nickelodeon,"21 октября 2019, 12:46",,3348
'За белых нам ничего не будет'. Какие преступления совершали в Казахстане 100 лет назад,"18 октября 2019, 18:43",19,4842
 Так кто же 'заказал' нашего министра?,"17 октября 2019, 13:20",19,5534
'Они хотят захватить легкие наших людей'. Как Биртанов и принцесса с электронными сигаретами боролись,"16 октября 2019, 20:18",17,5955
'40 лет он носил ее тетради'. История семьи учителей из сельской школы,"16 октября 2019, 14:15",13,7263
Особенности разминирования. Как казахстанские саперы очищали Ирак и Арысь,"16 октября 2019, 08:33",11,8869
​У хорошего моего знакомого случилась беда - сын 'подсел' на наркотики,"15 октября 2019, 13:20",12,7667
Как казахи стали все родственниками. Часть III,"14 октября 2019, 16:33",6,7516
"Александр Пантыкин, 'Урфин Джюс': 'Я сам придумал бренд 'дедушка уральского рока'","11 октября 2019, 08:22",3,22868
Как Зеленский сделал меня популярной,"10 октября 2019, 15:47",25,1358
Алан Бурибаев: 'Дон Карлос' - исторический блокбастер на оперной сцене,"10 октября 2019, 13:52",1,10879
Серость какая-то. Что Назарбаеву и Токаеву не нравится в столице Казахстана,"09 октября 2019, 19:23",24,3793
'Без детей и питомцев'. Беспощадная аренда квартир в Казахстане,"09 октября 2019, 12:34",40,2635
"Разве человек не заслужил того, чтобы умереть, не мучаясь?","08 октября 2019, 16:00",14,2578
Посол Казахстана в Узбекистане: 'Наши страны тесно сплетены',"08 октября 2019, 15:05",9,13633
"Мулатка из Карабалыка. Родилась в Казахстане, жила в Конго, вышла замуж за шымкентца","08 октября 2019, 13:00",75,10127
Интернет-конференция с главой 'Казахтелекома',"07 октября 2019, 15:53",236,2133
"'Когда родители пьют, я прячусь в шкаф'. О чем дети рассказывают учителю","07 октября 2019, 15:24",10,6994
'Мы копим на образование детей'. Как откладывать на обучение ребенка?,"07 октября 2019, 08:17",25,13319
Как школьники вместе с министрами и акимами высаживали деревья,"04 октября 2019, 11:23",,6128
Никогда в Казахстане не ставили такую оперу. Как итальянец взял на себя большую ответственность,"04 октября 2019, 08:27",5,8948
Люди восклицают: 'Мә-ә-ә...' Александра очень хотела танцевать и в результате заговорила на казахском,"03 октября 2019, 16:54",30,4523
"'Я не смог открыть в банке депозит'. Вещи, о которых не задумываешься в обычной жизни","03 октября 2019, 08:32",10,4934
Он бросил престижную работу в нацкомпании и уехал в аул. История Александра из Нур-Султана,"02 октября 2019, 15:19",57,6488
Он видел Мао. В доме престарелых Нур-Султана живет пенсионер с интересной историей,"01 октября 2019, 18:40",18,5663
"'У каждого человека своя беда, своя трагедия' - об абортах","30 сентября 2019, 15:33",10,4465
ОСМС: как казахстанцы будут лечиться с 2020 года?,"30 сентября 2019, 10:54",11,9890
'Современных детей мотивируют поездки и скидки'. 3 лайфхака от учителя математики,"30 сентября 2019, 08:33",25,14927
Абай и Монтень,"29 сентября 2019, 12:11",6,15827
Первая космическая нянька. Талгат Мусабаев напомнил о событии 18-летней давности,"26 сентября 2019, 14:31",10,2875
О без вины виноватых врачах: Что происходит?,"25 сентября 2019, 20:19",27,3667
Сколько женщин-акимов в Казахстане?,"25 сентября 2019, 08:32",9,1340
Степь превратилась в жемчужину. В Нур-Султане снова обсуждали высокие смыслы,"24 сентября 2019, 18:54",13,6627
"Ролью в 'АЛЖИРе' хотела отдать дань моему казахскому народу, доброму и отзывчивому","24 сентября 2019, 16:14",15,25573
Серик-ага едет в Будапешт. Простой водитель из Нур-Султана с большими планами на жизнь,"24 сентября 2019, 08:37",15,6131
'Рядом с такими людьми хочется быть лучше'. В Алматы отметили юбилей Какимжана Казыбаева,"23 сентября 2019, 14:37",2,8568
Режиссер Ким Ки Дук: 'Многие в Казахстане живут двойной жизнью',"23 сентября 2019, 08:35",13,7119
Как я стал наркоманом,"22 сентября 2019, 10:20",53,9662
"Все, что производят сейчас 'звезды', – это яд. Яд, который проникает в мозг и души","21 сентября 2019, 12:48",,17481
"Нагрубили, избили, посадили врача – это сенсация. Спасли, сделали – это никому не интересно","20 сентября 2019, 18:40",16,4961
'Скорее бы вечер и спать'. Как распознать депрессию и спасти себе жизнь,"20 сентября 2019, 15:04",13,6214
"'Думаете, в Алматы все идеально?' Что сделает новый архитектор с Нур-Султаном","20 сентября 2019, 08:38",45,16577
"Автографы Шумахера, ДиКаприо и Мухаммеда Али. Как казахстанец коллекционирует подписи звезд","19 сентября 2019, 11:49",7,6893
'Квартиры за границей в 3 раза дешевле алматинских'. Сколько должна стоить однушка?,"18 сентября 2019, 15:01",35,3620
Марафоны в столице бегали и раньше. Архив Нур-Султана показал снимки старого города,"18 сентября 2019, 08:34",11,3672
"Спросите Егорыча. Рядом с Нур-Султаном живет человек, который умеет все","17 сентября 2019, 11:40",11,11259
Настоящий казах всегда рад гостю и не отпустит чужое дитя из своего дома без подарка,"16 сентября 2019, 13:36",7,7776
История казахстанского плавания и ее автор Виктор Абоимов,"16 сентября 2019, 09:42",2,3064
"За и против уборки в школе. Что думают сами японцы и казахстанцы, живущие в Токио?","13 сентября 2019, 14:24",74,4725
Ведущая отрасль экономики. Форум машиностроителей прошел в Нур-Султане,"13 сентября 2019, 14:21",4,5705
"Кино на реальных событиях. Интервью с 'другом' Нурсултана Назарбаева, который возглавил 'Казахфильм'","13 сентября 2019, 10:22",11,12681
Открываем закон и задаемся вопросом: а действительно ли мы все это имели в виду?,"12 сентября 2019, 17:48",4,1773
Интернет-конференция с главой Фонда медицинского страхования,"12 сентября 2019, 12:34",34,1250
Здесь можно кино снимать. На востоке Казахстана есть гостиница из прошлого,"12 сентября 2019, 10:42",32,1775
Клоун Вячеслав Полунин: 'Через меня люди общаются с Асисяем',"11 сентября 2019, 08:38",5,12323
Huawei на IFA 2019: еще немного про 5G и наше с вами будущее,"10 сентября 2019, 18:50",4,5812
Как пить воду. Советы Казахской академии питания,"09 сентября 2019, 15:00",14,5454
"Мы наблюдаем деградацию нации - знаковыми людьми культуры стали Есентаева, Нуртас и другие","09 сентября 2019, 12:19",80,16276
"'Села на попутку и исчезла...' Что делать, если у вас пропал близкий человек?","09 сентября 2019, 08:23",,12913
Председатель правления 'Даму' о новых условиях для развития бизнеса,"07 сентября 2019, 09:00",12,14655
Любопытная переписка акмолинских полицейских 100-летней давности,"06 сентября 2019, 10:26",15,3506
"Как понять, что вашего ребенка травят в школе? Или он сам - агрессор...","06 сентября 2019, 08:24",7,4041
Необычный способ поздравления выбрал житель города,"05 сентября 2019, 16:48",4,2834
"Количество умных людей резко сократилось. Олжас Сулейменов рассказал, что нужно делать","04 сентября 2019, 20:35",58,5208
"Родственники для казаха – и радость, и беда. И позор, и гордость","04 сентября 2019, 15:50",8,8200
С какими просьбами лучше не подходить к министру и где учится его сын. Интервью с главой МОН,"04 сентября 2019, 10:01",23,18930
"'Я проработала в школе 10 лет, 9 из них - с удовольствием'. История нетипичного учителя","04 сентября 2019, 08:15",3,9239
"Серьезные блогеры, министр с улыбкой и наше здоровье","03 сентября 2019, 15:04",1,3672
'Это не для фейсбук-аудитории'. В чем необычность послания Токаева,"02 сентября 2019, 20:04",18,8393
Каждой семье - свой доктор,"30 августа 2019, 10:07",5,9256
"Подхалимство и лесть - один из атрибутов власти, мы это видим ежечасно","29 августа 2019, 12:25",17,4567
'Министр не должен быть вечным'. Арыстанбек Мухамедиулы о мечте и врагах,"28 августа 2019, 08:33",43,12157
На құдалык на частном самолете - как казахи соблюдают традиции в наши дни,"27 августа 2019, 14:08",7,8085
'Пора вернуть название Алма-Ата?' Ермухамет Ертысбаев возвращается в Казахстан,"27 августа 2019, 08:21",89,14661
Своим дочерям не желаю быть многодетными. Мать 11 детей о жизни в Нур-Султане,"26 августа 2019, 19:45",63,7454
"Как выглядит ЖК, который снесут в центре Нур-Султана","22 августа 2019, 18:41",28,3608
Динмухамед Кунаев. Как все начиналось. ,"22 августа 2019, 16:53",23,11157
Вы когда-нибудь заказывали еду на языке жестов? В Нур-Султане работает необычное кафе,"22 августа 2019, 08:27",10,8547
"Ядерные члены партии, которые не сидят дома. Назарбаев перезагрузил Nur Otan","21 августа 2019, 22:34",,6055
Что стоит за изменениями во фракции Nur Otan?,"21 августа 2019, 12:27",3,1978
'Я стал скромнее в желаньях'. Сергей Погосян о жизни после 'ТВ-Бинго' и работе в Москве,"21 августа 2019, 08:15",21,13008
"Во всем виноваты соцсети, там все пытаются казаться, а не быть","20 августа 2019, 18:26",13,2861
Почему гибнут деревья Нур-Султана,"20 августа 2019, 08:24",55,4463
"Әже у казахов была генеральшей, и в этом я усматриваю великую справедливость","19 августа 2019, 14:37",4,8299
"Звонок - для учителя, и суббота тоже. Для казахстанских педагогов наступили хорошие времена","16 августа 2019, 19:59",28,5923
'Я не чей-то человек' - бывший замакима Шымкента о зарплате и видео из Лондона,"16 августа 2019, 17:00",114,5830
Придумайте подпись к фото. На сайте Елбасы появился любопытный архив,"16 августа 2019, 08:58",19,1893
Отец насиловал дочь несколько лет. Казахстанка прервала долгое молчание,"16 августа 2019, 08:23",64,10307
"Таинственный меценат из Нур-Султана купил квартиру семье, живущей на автомойке","14 августа 2019, 18:33",188,4233
'Куда без очереди?!' – 'Мне только спросить!' Прием в типичной поликлинике,"14 августа 2019, 13:27",11,4891
Сколько госслужащих в Казахстане и какая у них зарплата,"14 августа 2019, 08:32",49,2149
Рассекреченные материалы. Как министерство правды следило за Казахстаном,"12 августа 2019, 19:47",20,6121
"Казахская келин скромна, робка и стыдлива. Нельзя было показывать свой истинный характер","12 августа 2019, 14:01",12,7548
"Взрослые думали, я притворяюсь. Каково это - пережить инсульт в 14 лет","12 августа 2019, 08:15",30,9118
Я не согласен с Тарантино. О чем надо знать перед походом на 'Однажды в... Голливуде',"09 августа 2019, 18:24",10,4469
Владельцы обменников рассказали о своем заработке и о новых требованиях Нацбанка,"09 августа 2019, 16:49",37,9190
За границей принцип 'нет денег - нет медицины'. Как обезопасить себя в отпуске,"08 августа 2019, 13:15",3,5342
"Скрипачка Лана: 'Знавшие меня раньше не поверят, как я живу сегодня'","08 августа 2019, 08:08",,13693
"С одной стороны поют, с другой - майнят. Как выжить в казахстанском офисе","07 августа 2019, 10:03",6,5000
"'Если увидишь, что жена твоя плачет без причины, обязательно врежь ей'","06 августа 2019, 10:58",16,8828
"'В Казахстане я был русский, а здесь нерусский'. Как в Москве живется художнику с псевдонимом Шеге","05 августа 2019, 11:29",26,13763
В Казахстане скоро запустят 5G. Что она из себя представляет?,"02 августа 2019, 18:38",37,4307
'Сама виновата' и 'она была в короткой юбке'. Что не так с этой логикой?,"02 августа 2019, 08:18",88,7280
Семеро изнасиловали девушку на дне рождения. Громкие истории жертв в Казахстане,"01 августа 2019, 18:29",45,3532
"Вот уже три года, как нет с нами Салидат Каирбековой ","01 августа 2019, 13:32",7,2149
"Международный инвестиционный арбитраж, или Инвестор против Государства","01 августа 2019, 12:22",3,18513
Что нужно знать о медицинском страховании в Казахстане,"31 июля 2019, 19:00",2,8391
Нур-Султан вырос на помидорах и капусте. Столицу Казахстана построили посреди огромного огорода?,"31 июля 2019, 14:01",16,6546
Блогеры захватят мир? И еще 7 вопросов про будущее,"30 июля 2019, 08:17",5,2790
Мысли об акиме Шымкента и генерале-матерщиннике,"29 июля 2019, 12:34",37,9201
Где в Казахстане больше женихов и невест. Инфографика,"29 июля 2019, 08:23",18,2420
Теория 6 рукопожатий работает! Как вся Чечня искала кумира казахстанского мальчика,"26 июля 2019, 19:20",20,5022
"Брэд Питт мой ровесник, Джонни Депп тоже. И это ужасно","26 июля 2019, 10:37",25,3473
 Зачем Казахстану сирийские переговоры и почему проводилась операция 'Жусан',"25 июля 2019, 11:07",5,23616
Почему браконьеры в Казахстане чувствуют себя безнаказанными?,"25 июля 2019, 10:05",23,5373
'Это словно сходить на тот свет и вернуться'. Весь Казахстан ей говорит: живи,"24 июля 2019, 19:44",21,5594
Он отстреливался из люка своего джипа. Браконьерские разборки в Казахстане,"24 июля 2019, 10:25",18,5984
'Я путешествую 4 раза в год'. Что выбрать - новый телевизор или новые впечатления?,"23 июля 2019, 08:05",29,4038
"Скрежет металла, зловоние и страх. Жизнь в этом районе Нур-Султана напоминает ад","22 июля 2019, 19:39",15,6925
"Кадыр Эпизодович, Танк Партизан-ұлы... О любви казахов к странным именам","22 июля 2019, 14:58",17,8239
"'Ночью плачу, а утром улыбаюсь'. Как мама вытаскивает дочь из аутизма","22 июля 2019, 13:34",13,6839
"Одинокий лебедь, который любит внимание людей. Тайная жизнь птиц Нур-Султана","19 июля 2019, 19:41",9,5156
Интернет-конференция с Елжаном Биртановым о медицинском страховании,"19 июля 2019, 10:45",68,818
От Тасмагамбетова до Кульгинова. Как 5 акимов пытались решить вопрос с LRT,"19 июля 2019, 10:33",41,4000
" В 8 утра приходил на работу, в 18.00 уходил домой. Ему этого было достаточно","18 июля 2019, 15:55",27,3463
Тамада и лидер 'Океана Эльзы': кто хочет стать депутатом Рады в Украине,"18 июля 2019, 15:46",1,7918
Нам по комнате выделили. Как вице-министр и Шукеев живут в Арыси,"18 июля 2019, 09:28",17,13022
"Какие нужны объяснения, если человек хочет учиться? Истории студентов старше 50","18 июля 2019, 08:22",6,9154
Как разнообразен и прекрасен Казахстан,"17 июля 2019, 17:02",2,2223
"Казахстанцу, спасшему 48 человек из горящего автобуса, подарили квартиру","17 июля 2019, 08:17",78,4963
"Бабушка из города Арысь. История, которая случилась до ЧП","16 июля 2019, 15:56",8,5134
Как сделать здравоохранение в Казахстане и жизнь людей лучше?,"16 июля 2019, 15:32",3,8777
Убытки в 600 миллионов долларов. Насколько завысили стоимость 'Астана LRT'?,"16 июля 2019, 13:41",70,1713
Казахстан может стать криптодержавой?,"16 июля 2019, 10:04",19,10086
Как казахи придумывали имя,"15 июля 2019, 15:31",7,11321
Они все еще живут на автомойке. Отец двоих детей из Нур-Султана продолжает погоню за счастьем,"15 июля 2019, 15:11",40,2959
Сколько национальных компаний в Казахстане. Инфографика,"15 июля 2019, 08:32",,260
О правильных родах. Где и как рожать,"13 июля 2019, 15:03",4,6881
Цифровые двойники и доступ к зрению другого человека. Футуролог о технологиях будущего,"12 июля 2019, 08:15",8,4953
Как не попасть к врачу-аферисту,"11 июля 2019, 18:09",6,4498
